ARBITRATION 2021,,,by club,,,,"4 player victories, 5 club victories",,,,
Player ,Season,Club,Pos'n,MLS,2020 WARP,Career WARP,2020 Salary,Player Request,Club                 Offer,2021 Salary,.
"Tepera, Ryan",2021,CHN,rhp,5.008,0.5,1.2,,,non-tendered,,
"Winkler, Daniel",2021,CHN,rhp,5.063,0.0,1.1,"$750,000 ",,,"$900,000 ",
"Bradley, Archie",2021,CIN,rhp,5.112,0.6,1.8,"$4,100,000 ",,non-tendered,,
"Casali, Curt",2021,CIN,c,4.151,0.5,4.4,"$1,462,500 ",,non-tendered,,
"Castillo, Luis",2021,CIN,rhp-s,3.101,1.9,10.8,"$663,500 ",,,"$4,200,000 ",
"Garrett, Amir",2021,CIN,lhp,3.099,0.3,0.4,"$595,000 ",,,"$1,500,000 ",
"Goodwin, Brian",2021,CIN,of,4.019,1.0,2.1,"$2,200,000 ",,non-tendered,,
"Lorenzen, Michael",2021,CIN,rhp-of,5.159,0.6,-0.1,"$3,725,000 ",,,"$4,437,500 ",
"Mahle, Tyler",2021,CIN,rhp,3.018,0.6,0.6,"$609,793 ",,,"$2,200,000 ",
"Ramirez, Noe",2021,CIN,rhp,3.139,0.1,2.0,"$900,000 ",,,"$1,175,000 ",
"Winker, Jesse",2021,CIN,lf-rf,3.080,1.0,4.3,"$605,000 ",,,"$3,150,000 ",
"DeShields Jr., Delino",2021,CLE,cf-lf,5.109,0.2,6.3,"$1,875,000 ",,non-tendered,,
"Hedges, Austin",2021,CLE,c,4.166,1.0,11.6,"$3,000,000 ",,,"$3,280,000 ",
"Maton, Phil",2021,CLE,rhp,3.047,0.5,1.2,"$572,100 ",,,"$975,000 ",
"Naquin, Tyler",2021,CLE,rf,4.033,0.2,3.0,"$1,450,000 ",,non-tendered,,
"Rosario, Amed",2021,CLE,ss,3.062,-0.8,2.8,"$608,780 ",,,"$2,400,000 ",
"Wittgren, Nick",2021,CLE,rhp,4.071,0.2,1.5,"$1,125,000 ",,,"$2,000,000 ",
"Bard, Daniel",2021,COL,rhp,4.103,0.5,2.6,"$1,000,000 ",,,"$2,925,000 ",
"Dahl, David",2021,COL,lf,3.162,-0.2,2.5,"$2,475,000 ",,non-tendered,,
"Diaz, Elias",2021,COL,c,4.088,0.1,1.2,"$1,100,000 ",,,"$1,200,000 ",
"Diaz, Jairo",2021,COL,rhp,3.083,-0.3,0.7,"$573,500 ",,,"$1,100,000 ",
"Estevez, Carlos",2021,COL,rhp,4.022,-0.1,0.0,"$1,080,000 ",,,"$1,450,000 ",
"Freeland, Kyle",2021,COL,lhp-s,3.144,0.4,2.5,"$2,875,000 ",,,"$5,025,000 ",
"Givens, Mychal",2021,COL,rhp,5.069,0.0,4.7,"$3,225,000 ",,,"$4,050,000 ",
"Gonzalez, Alex ""Chi Chi""",2021,COL,rhp-s,2.149,0.0,-2.1,"$1,750,000 ",,non-tendered,,
"Gray, Jon",2021,COL,rhp-s,5.062,-0.1,8.2,"$5,600,000 ",,,"$6,000,000 ",
"McMahon, Ryan",2021,COL,1b-3b,3.006,0.3,2.1,"$573,500 ",,,"$2,375,000 ",
"Senzatela, Antonio",2021,COL,rhp-s,3.106,1.0,0.6,"$573,500 ",,,"$3,000,000 ",
"Stephenson, Robert",2021,COL,rhp,3.049,-0.2,-0.2,"$592,000 ",,,"$805,000 ",
"Tapia, Raimel",2021,COL,of,3.020,-0.1,-0.1,"$573,500 ",,,"$1,950,000 ",
"Wolters, Tony",2021,COL,c,4.161,-0.5,4.3,"$1,900,000 ",,non-tendered,,
"Boyd, Matt",2021,DET,lhp-s,4.136,-1.0,-0.8,"$5,300,000 ",,,"$6,500,000 ",
"Candelario, Jeimer",2021,DET,3b,3.038,1.1,2.0,"$583,300 ",,,"$2,850,000 ",
"Cisnero, Jose",2021,DET,rhp,3.020,0.7,0.1,"$571,200 ",,,"$970,000 ",
"Farmer, Buck",2021,DET,rhp,4.083,0.3,-0.3,"$1,150,000 ",,,"$1,850,000 ",
"Fulmer, Michael",2021,DET,rhp-s,4.157,-0.9,5.4,"$2,800,000 ",,,"$3,100,000 ",
"Goodrum, Niko",2021,DET,ss,3.031,0.3,2.7,"$698,200 ",,,"$2,100,000 ",
"Jimenez, Joe",2021,DET,rhp-c,3.077,-0.7,1.5,"$584,900 ",,,"$1,500,000 ",
"Jones, JaCoby",2021,DET,cf,3.125,0.0,0.4,"$1,575,000 ",,,"$2,650,000 ",
"Norris, Daniel",2021,DET,lhp,5.073,0.5,-0.1,"$2,962,500 ",,,"$3,475,000 ",
"Correa, Carlos",2021,HOU,ss,5.119,-0.1,16.7,"$8,000,000 ","$12,500,000 ","$9,750,000 ","$11,700,000 ",
"Diaz, Aledmys",2021,HOU,ss,4.100,0.2,4.8,"$2,600,000 ",,,"$3,000,000 ",
"McCullers Jr., Lance",2021,HOU,rhp-s,5.140,1.2,10.0,"$4,100,000 ",,,"$6,500,000 ",
"Cordero, Franchy",2021,KCA,cf-rf,3.038,0.0,-0.2,"$571,100 ",,,"$800,000 ",
"Dozier, Hunter",2021,KCA,3b-rf,3.060,0.3,1.7,"$610,500 ",,,"$2,720,000 ",
"Franco, Maikel",2021,KCA,3b,5.157,0.6,6.4,"$2,950,000 ",,non-tendered,,
"Hahn, Jesse",2021,KCA,rhp,5.031,0.4,1.8,"$600,000 ",,,"$1,750,000 ",
"Junis, Jakob",2021,KCA,rhp-s,3.082,-0.1,0.0,"$608,000 ",,,"$1,700,000 ",
"Keller, Brad",2021,KCA,rhp-s,3.000,1.0,3.0,"$613,000 ",,,"$3,350,000 ",
"Mondesi, Adalberto",2021,KCA,ss,3.088,-0.3,1.9,"$604,500 ",,,"$2,525,000 ",
"Montgomery, Mike",2021,KCA,lhp-s,5.089,0.0,3.2,"$3,100,000 ",,outrighted-FA,,
"Soler, Jorge",2021,KCA,dh-rf,5.143,0.0,3.8,"$7,966,667 ",,,"$8,050,000 ",
"Sparkman, Glenn",2021,KCA,rhp,3.001,0.0,-4.3,"$604,500 ",,released,,
"Alexander, Scott",2021,LAN,lhp,4.039,0.1,0.0,"$875,000 ",,,"$1,000,000 ",
"Barnes, Austin",2021,LAN,c,4.098,0.7,7.7,"$1,100,000 ","$2,000,000 ","$1,500,000 ",2 y/$4.3M extn,
"Bellinger, Cody",2021,LAN,1b-of,3.160,1.5,15.2,"$11,500,000 ",,,"$16,100,000 ",
"Buehler, Walker",2021,LAN,rhp,2.168,0.7,9.8,"$603,500 ","$4,150,000 ","$3,300,000 ",2 y/$8M extn,
"Floro, Dylan",2021,LAN,rhp,3.053,0.5,0.5,"$593,500 ",,,"$975,000 ",
"Knebel, Corey",2021,LAN,rhp,5.151,-0.1,3.5,"$5,125,000 ",,,"$5,250,000 ",
"Seager, Corey",2021,LAN,ss,5.032,2.1,15.4,"$7,600,000 ",,,"$13,750,000 ",
"Urias, Julio",2021,LAN,lhp-s,3.117,0.5,4.2,"$1,000,000 ",,,"$3,600,000 ",
"Aguilar, Jesus",2021,MIA,1b,4.082,0.5,4.7,"$2,575,000 ",,,"$4,350,000 ",
"Alfaro, Jorge",2021,MIA,c,3.083,-0.4,3.2,"$595,000 ",,,"$2,050,000 ",
"Anderson, Brian",2021,MIA,3b,3.031,1.3,6.0,"$615,000 ",,,"$3,800,000 ",
