ARBITRATION 2023,,,by club,,,,"6 player victories, 13 club victories",,,   ,
Player ,Season,Club,Pos'n,MLS,2022 WARP,Career WARP,2022 Salary,Player Request,Club                 Offer,2023 Salary,Estimate
"Alfaro, Jorge",2023,SDN,c,5.083,-0.2,3.1,"$2,725,000 ",,non-tendered,,"$3,225,000"
"Castillo, José",2023,SDN,lhp,3.125,0.0,0.9,,,,"$730,000 ","$845,000"
"Cronenworth, Jake",2023,SDN,lf-rhp,3.000,2.1,5.3,"$757,200 ",,,"$4,225,000 ","$4,000,000"
"Grisham, Trent",2023,SDN,cf,3.060,0.8,4.4,"$729,300 ",,,"$3,175,000 ","$2,100,000"
"Hader, Josh",2023,SDN,rhp-c,5.115,0.4,9.6,"$11,000,000 ",,,"$14,100,000 ","$12,750,000"
"Hill, Tim",2023,SDN,lhp,4.112,0.1,2.6,"$1,325,000 ",,,"$1,850,000 ","$1,525,000"
"Morejon, Adrian",2023,SDN,lhp,3.013,0.2,0.8,"$704,500 ",,,"$800,000 ","$980,000"
"Nola, Austin",2023,SDN,c,3.106,0.5,3.6,"$726,900 ",,,"$2,350,000 ","$2,250,000"
"Soto, Juan",2023,SDN,lf,4.134,3.1,22.5,"$17,100,000 ",,,"$23,000,000 ","$23,500,000"
"Borucki, Ryan",2023,SEA,lhp-s,4.066,0.1,0.8,"$825,000 ",,,,"$900,000"
"Castillo, Diego",2023,SEA,rhp,4.118,0.7,5.2,"$2,150,000 ","$3,225,000 ","$2,950,000 ","$2,950,000 ","$3,500,000"
"France, Ty",2023,SEA,3b,3.089,2.6,7.0,"$734,500 ",,,"$4,100,000 ","$4,000,000"
"Hernández, Teoscar",2023,SEA,lf,5.097,3.0,12.5,"$10,650,000 ","$16,000,000 ","$14,000,000 ","$14,000,000 ","$15,000,000"
"Moore, Dylan",2023,SEA,3b,4.000,1.0,3.0,"$1,350,000 ","$2,250,000 ","$1,900,000 ",3 y/$8.875 extn,"$2,250,000"
"Murphy, Tom",2023,SEA,c,5.092,0.1,2.3,"$1,575,000 ",,,"$1,625,000 ","$1,825,000"
"Sadler, Casey",2023,SEA,rhp,4.035,-,1.5,"$1,025,000 ",,,,"$1,100,000"
"Sewald, Paul",2023,SEA,rhp,4.072,1.2,4.3,"$1,735,000 ",,,"$4,100,000 ","$3,400,000"
"Torrens, Luis",2023,SEA,c,3.091,-0.3,-0.7,"$1,200,000 ",,,,"$1,200,000"
"Weaver, Luke",2023,SEA,rhp,5.112,0.2,5.5,"$2,875,000 ",,non-tendered,,"$3,275,000"
"Alexander, Scott",2023,SFN,lhp,5.080,0.1,2.3,,,,"$1,200,000 ","$1,000,000"
"Brebbia, John",2023,SFN,rhp,5.078,0.4,3.2,"$837,500 ",,,"$2,300,000 ","$1,500,000"
"Cotton, Jharel",2023,SFN,rhp-s,3.162,0.0,0.6,"$700,000 ",,outrighted,,"$925,000"
"Davis, J.D.",2023,SFN,3b,4.137,0.0,2.3,"$2,760,000 ",,,"$4,210,000 ","$3,000,000"
"Estrada, Thairo",2023,SFN,2b-ss,2.169,1.9,2.9,"$715,000 ",,,"$2,250,000 ","$1,400,000"
"García, Jarlín",2023,SFN,lhp,5.114,0.7,3.0,"$1,725,000 ",,non-tendered,,"$2,750,000"
"Junis, Jakob",2023,SFN,rhp-s,5.002,1.2,5.0,,,,"$2,800,000 ","$4,150,000"
"Littell, Zack",2023,SFN,rhp,3.067,0.4,1.5,"$730,000 ",,outrighted,,"$975,000"
"Rogers, Tyler",2023,SFN,rhp,3.034,0.2,1.9,"$730,000 ",,,"$1,675,000 ","$1,200,000"
"Slater, Austin",2023,SFN,of,4.147,0.9,2.9,"$1,850,000 ",,,"$3,200,000 ","$2,750,000"
"Wade, LaMonte",2023,SFN,lf,3.035,0.7,2.1,"$730,000 ",,,"$1,375,000 ","$1,300,000"
"Webb, Logan",2023,SFN,rhp-s,3.044,2.7,7.6,"$730,000 ",,,"$4,600,000 ","$4,500,000"
"Yastrzemski, Mike",2023,SFN,of,3.128,1.6,7.4,"$3,700,000 ",,,"$6,100,000 ","$6,250,000"
"Young, Alex",2023,SFN,lhp-s,2.143,0.3,0.9,,,non-tendered,,"$900,000"
"Cabrera, Génesis",2023,SLN,lhp,3.011,-0.1,1.1,"$719,200 ","$1,150,000 ","$950,000 ","$950,000 ","$1,100,000"
"Edman, Tommy",2023,SLN,2b,3.114,2.7,7.3,"$722,900 ",,,"$4,200,000 ","$4,100,000"
"Flaherty, Jack",2023,SLN,rhp-s,5.006,0.1,11.0,"$5,000,000 ",,,"$5,400,000 ","$5,250,000"
"Helsley, Ryan",2023,SLN,rhp,3.105,1.8,2.3,"$722,450 ","$3,000,000 ","$2,150,000 ","$2,150,000 ","$2,000,000"
"Hicks, Jordan",2023,SLN,rhp-s,5.000,0.9,1.8,"$937,500 ",,,"$1,837,500 ","$1,800,000"
"Hudson, Dakota",2023,SLN,rhp-s,4.062,-1.2,1.4,"$1,050,000 ",,,"$2,650,000 ","$1,750,000"
"Knizner, Andrew",2023,SLN,c,3.021,0.0,-0.5,"$718,300 ",,,"$1,100,000 ","$925,000"
"Montgomery, Jordan",2023,SLN,lhp-s,5.153,0.8,4.7,"$6,000,000 ",,,"$10,000,000 ","$9,500,000"
"O'Neill, Tyler",2023,SLN,lf,4.059,0.6,6.0,"$3,400,000 ",,,"$4,950,000 ","$4,500,000"
"Reyes, Alex",2023,SLN,rhp-s,5.056,-,2.0,"$2,850,000 ",,non-tendered,,"$2,900,000"
"Stratton, Chris",2023,SLN,rhp-s,5.100,0.2,4.4,"$2,700,000 ",,,"$2,800,000 ","$3,000,000"
"Adam, Jason",2023,TBA,rhp,2.132,1.5,2.2,"$900,000 ","$1,775,000 ","$1,550,000 ","$1,775,000 ","$1,750,000"
"Anderson, Nick",2023,TBA,rhp,3.153,-,2.0,"$845,000 ",,outrighted,,"$850,000"
"Armstrong, Shawn",2023,TBA,rhp,4.113,1.0,2.5,"$1,000,000 ",,,"$1,200,000 ","$2,950,000"
"Arozarena, Randy",2023,TBA,lf,2.129,2.2,4.9,"$716,600 ",,,"$4,150,000 ","$3,600,000"
"Beeks, Jalen",2023,TBA,lhp,4.070,1.0,1.8,"$750,000 ",,,"$1,375,000 ","$2,400,000"
"Bethancourt, Christian",2023,TBA,c-lf,3.038,0.4,0.9,,,,"$1,350,000 ","$1,000,000"
"Chirinos, Yonny",2023,TBA,rhp-s,4.137,0.1,2.4,"$1,175,000 ",,,"$1,275,000 ","$1,300,000"
"Díaz, Yandy",2023,TBA,3b,4.122,3.4,7.1,"$2,800,000 ","$6,300,000 ","$5,500,000 ",3 y/$24M extn,"$6,000,000"
"Fairbanks, Pete",2023,TBA,rhp,3.057,0.8,2.6,"$714,400 ","$1,900,000 ","$1,500,000 ",,"$1,400,000"
"Kittredge, Andrew",2023,TBA,rhp,4.070,0.2,2.9,"$1,850,000 ",,,"$2,075,000 ","$2,500,000"
"Mejía, Francisco",2023,TBA,c,4.062,-0.3,1.6,"$1,455,000 ",,,"$2,155,000 ","$1,655,000"
"Poche, Colin",2023,TBA,lhp,3.109,0.6,1.3,,"$1,300,000 ","$1,175,000 ","$1,175,000 ","$1,600,000"
"Quinn, Roman",2023,TBA,of,4.035,0.0,0.9,,,outrighted,,"$900,000"
"Raley, Luke",2023,TBA,rf,3.045,-0.3,-0.6,,,,,"$760,000"
"Ramirez, Harold",2023,TBA,of,3.124,1.0,3.5,"$728,000 ","$2,200,000 ","$1,900,000 ","$2,200,000 ","$2,250,000"
"Springs, Jeffrey",2023,TBA,lhp,4.055,2.5,4.1,"$947,500 ","$3,550,000 ","$2,700,000 ",4 y/$31M extn,"$2,350,000"
"Thompson, Ryan",2023,TBA,rhp,3.000,0.5,1.6,,"$1,200,000 ","$1,000,000 ","$1,000,000 ","$1,400,000"
"Yarbrough, Ryan",2023,TBA,lhp-s,4.117,-0.5,1.9,"$3,850,000 ",,non-tendered,,"$4,050,000"
"Garver, Mitch",2023,TEX,c,5.045,0.9,6.0,"$3,335,000 ",,,"$3,900,000 ","$5,000,000"
"Hearn, Taylor",2023,TEX,lhp,3.125,-0.1,-0.2,"$1,050,000 ",,,"$1,462,500 ","$1,300,000"
"Hernández, Jonathan",2023,TEX,rhp,3.041,0.2,1.0,"$720,000 ",,,"$995,000 ","$990,000"
"Lowe, Nathaniel",2023,TEX,1b,2.145,2.7,3.2,"$716,000 ",,,"$4,050,000 ","$2,500,000"
"Martin, Brett",2023,TEX,lhp,3.151,0.4,1.6,"$1,025,000 ",,,"$1,275,000 ","$1,350,000"
"Bichette, Bo",2023,TOR,ss,3.063,3.1,8.4,"$723,550 ","$7,500,000 ","$5,000,000 ",3 y/$33.6M ext,"$5,750,000"
"Biggio, Cavan",2023,TOR,2b,3.129,0.1,3.6,"$2,112,500 ",,,"$2,800,000 ","$3,000,000"
"Cimber, Adam",2023,TOR,rhp,4.156,0.7,2.6,"$1,575,000 ",,,"$3,150,000 ","$2,850,000"
"Espinal, Santiago",2023,TOR,2b,2.149,1.4,4.3,"$718,000 ",,,"$2,100,000 ","$2,300,000"
"Guerrero, Vladimir Jr.",2023,TOR,3b,3.157,4.1,11.8,"$7,900,000 ",,,"$14,500,000 ","$14,500,000"
"Jansen, Danny",2023,TOR,c,4.050,1.9,6.1,"$1,950,000 ",,,"$3,500,000 ","$4,000,000"
"Mayza, Tim",2023,TOR,lhp,3.156,0.7,3.2,"$1,250,000 ",,,"$2,100,000 ","$2,350,000"
"Richards, Trevor",2023,TOR,rhp-s,4.084,1.0,4.3,"$1,000,000 ",,,"$1,500,000 ","$2,400,000"
"Romano, Jordan",2023,TOR,rhp,3.051,1.2,3.3,"$728,400 ",,,"$4,537,500 ","$3,500,000"
"Swanson, Erik",2023,TOR,rhp,3.096,1.3,2.1,"$711,600 ",,,"$1,250,000 ","$1,600,000"
"Tapia, Raimel",2023,TOR,of,5.020,0.4,2.1,"$3,950,000 ",,non-tendered,,"$5,000,000"
"Thornton, Trent",2023,TOR,rhp-s,3.073,0.2,0.9,"$850,000 ",,,"$1,000,000 ","$1,050,000"
"Varsho, Daulton",2023,TOR,c,2.128,2.8,4.2,"$721,700 ",,,"$3,050,000 ","$2,550,000"
"Zimmer, Bradley",2023,TOR,of,4.077,-0.1,1.0,"$1,300,000 ",,non-tendered,,"$1,450,000"
"Arano, Victor",2023,WAS,rhp,3.022,0.7,1.6,"$900,000 ",,,"$925,000 ","$1,150,000"
"Edwards Jr., Carl",2023,WAS,rhp,5.169,0.8,4.5,,,,"$2,250,000 ","$1,500,000"
"Fedde, Erick",2023,WAS,rhp,4.099,-1.2,1.7,"$2,150,000 ",,non-tendered,,"$2,650,000"
"Finnegan, Kyle",2023,WAS,rhp,3.000,1.2,2.4,"$725,900 ",,,"$2,325,000 ","$2,100,000"
"Harvey, Hunter",2023,WAS,rhp,3.047,0.7,0.9,,,,"$870,000 ","$875,000"
"Rainey, Tanner",2023,WAS,rhp,3.127,0.4,2.0,"$860,000 ",,,"$1,500,000 ","$1,500,000"
"Robles, Victor",2023,WAS,cf,4.033,1.4,5.8,"$1,650,000 ","$2,600,000 ","$2,300,000 ",1 y/$2.325+opt,"$3,900,000"
"Thomas, Lane",2023,WAS,rf,3.014,1.9,3.4,"$723,600 ",,,"$2,200,000 ","$1,650,000"
"Vargas, Ildemaro",2023,WAS,ss,3.007,0.8,2.6,,,,"$975,000 ","$1,250,000"
"Voit, Luke",2023,WAS,1b,4.169,0.2,4.8,"$5,450,000 ",,non-tendered,,"$6,500,000"
