ARBITRATION 2023,,,by club,,,,"6 player victories, 13 club victories",,,   ,
Player ,Season,Club,Pos'n,MLS,2022 WARP,Career WARP,2022 Salary,Player Request,Club                 Offer,2023 Salary,Estimate
"Cease, Dylan",2023,CHA,rhp,3.089,4.5,7.7,"$750,000 ",,,"$5,700,000 ","$4,750,000"
"Crick, Kyle",2023,CHA,rhp,5.027,0.2,1.9,"$1,250,000 ",,outrighted,,"$1,500,000"
"Engel, Adam",2023,CHA,of,5.058,-0.6,1.5,"$2,000,000 ",,non-tendered,,"$2,150,000"
"Giolito, Lucas",2023,CHA,rhp-s,5.080,1.1,9.2,"$7,450,000 ",,,"$10,400,000 ","$10,450,000"
"Kopech, Michael",2023,CHA,rhp,3.041,0.8,2.8,"$730,000 ",,,"$2,050,000 ","$1,750,000"
"López, Reynaldo",2023,CHA,rhp-s,5.004,1.3,2.4,"$2,625,000 ",,,"$3,625,000 ","$3,600,000"
"Mendick, Danny",2023,CHA,ss,2.168,0.3,1.2,"$714,000 ",,non-tendered,,"$1,100,000"
"Ruiz, José",2023,CHA,rhp,3.048,0.6,1.0,"$720,000 ",,,"$925,000 ","$1,300,000"
"Brault, Steven",2023,CHN,lhp-s,4.167,0.1,1.7,,,outrighted,,"$1,200,000"
"Happ, Ian",2023,CHN,cf,5.036,3.2,7.0,"$6,850,000 ",,,"$10,850,000 ","$11,750,000"
"Heuer, Codi",2023,CHN,rhp,3.000,-,1.0,"$734,000 ",,,"$785,000 ","$750,000"
"Hoerner, Nico",2023,CHN,2b,3.014,3.2,5.5,"$720,000 ",,,"$2,525,000 ","$4,000,000"
"Madrigal, Nick",2023,CHN,2b,2.164,0.9,2.2,"$716,500 ",,,"$1,225,000 ","$1,750,000"
"Mills, Alec",2023,CHN,rhp,3.097,-0.2,2.1,"$741,250 ",,outrighted,,"$800,000"
"Oretga, Rafael",2023,CHN,lf,2.145,0.6,1.7,"$738,500 ",,non-tendered,,"$1,500,000"
"Reyes, Franmil",2023,CHN,rf,4.115,-0.1,4.4,"$4,550,000 ",,outrighted,,"$5,250,000"
"Sampson, Adrian",2023,CHN,rhp,2.117,0.2,0.7,,,,"$1,900,000 ",
"Wick, Rowan",2023,CHN,rhp,3.114,0.7,1.7,"$724,000 ",,,"$1,550,000 ","$1,000,000"
"Wieck, Brad",2023,CHN,lhp,3.085,-,1.0,"$717,000 ",,outrighted,,"$755,000"
"Antone, Tejay",2023,CIN,rhp,3.000,-,1.5,"$720,000 ",,,"$770,000 ","$750,000"
"Aquíno, Aristides",2023,CIN,rf,3.003,0.8,2.1,"$720,000 ",,non-tendered,,"$1,350,000"
"Cessa, Luis",2023,CIN,rhp,5.131,0.3,2.5,"$1,800,000 ",,,"$2,650,000 ","$2,750,000"
"Dunn, Justin",2023,CIN,rhp,3.016,-0.5,-1.0,"$720,000 ",,,"$900,000 ","$775,000"
"Farmer, Buck",2023,CIN,rhp,5.140,0.8,1.6,"$850,000 ",,,"$1,750,000 ","$1,250,000"
"Hoffman, Jeff",2023,CIN,rhp-s,4.105,0.3,2.0,"$925,000 ",,non-tendered,,"$1,750,000"
"Law, Derek",2023,CIN,rhp,3.081,0.2,1.9,,,non-tendered,,"$1,250,000"
"Newman, Kevin",2023,CIN,2b,4.046,0.8,3.5,"$1,950,000 ",,,"$2,662,500 ","$3,500,000"
"Senzel, Nick",2023,CIN,of-3b,3.150,1.1,2.1,"$1,250,000 ",,,"$1,950,000 ","$2,300,000"
"Sims, Lucas",2023,CIN,rhp,4.014,0.0,3.0,"$1,200,000 ",,,"$1,267,500 ","$1,650,000"
"Bieber, Shane",2023,CLE,rhp-s,4.097,3.8,15.3,"$6,000,000 ",,,"$10,010,000 ","$12,750,000"
"Civale, Aaron",2023,CLE,rhp,3.058,1.1,2.8,"$716,900 ",,,"$2,600,000 ","$2,150,000"
"Gose, Anthony",2023,CLE,lhp,3.139,0.2,0.3,"$702,900 ",,non-tendered,,"$900,000"
"Karinchak, James",2023,CLE,rhp,2.169,1.0,2.9,"$714,500 ",,,"$1,500,000 ","$2,000,000"
"Maile, Luke",2023,CLE,c,5.148,0.2,3.1,"$900,000 ",,non-tendered,,"$1,600,000"
"Naylor, Josh",2023,CLE,lf-1b,3.127,1.4,2.4,"$1,200,000 ",,,"$3,350,000 ","$2,850,000"
"Plesac, Zach",2023,CLE,rhp,3.086,0.1,1.0,"$2,000,000 ",,,"$2,950,000 ","$2,500,000"
"Quantrill, Cal",2023,CLE,rhp-s,3.132,0.8,3.0,"$2,510,000 ",,,"$5,550,000 ","$5,000,000"
"Rosario, Amed",2023,CLE,ss-of,5.062,2.8,6.2,"$4,950,000 ",,,"$7,800,000 ","$9,000,000"
"Blach, Ty",2023,COL,lhp-s,3.007,0.1,-0.1,"$750,000 ",,,,"$780,000"
"Gomber, Austin",2023,COL,lhp,3.111,-0.1,2.1,"$710,000 ",,,"$1,650,000 ","$1,250,000"
"Hampson, Garrett",2023,COL,2b-ss,4.030,0.1,2.0,"$1,862,500 ",,non-tendered,,"$2,000,000"
"Kinley, Tyler",2023,COL,rhp,4.014,0.4,1.6,"$1,025,000 ",,,,"$1,400,000"
"Lamet, Dinelson",2023,COL,rhp-s,5.070,0.4,7.5,"$4,775,000 ",,,"$5,000,000 ","$5,500,000"
"Rodgers, Brendan",2023,COL,ss,3.075,2.9,4.7,"$710,000 ",,,"$2,700,000 ","$3,750,000"
"Suter, Brent",2023,COL,lhp,5.161,0.3,4.1,"$2,700,000 ",,,"$3,000,000 ","$3,500,000"
"Alexander, Tyler",2023,DET,lhp,3.058,-1.3,-1.2,"$716,900 ",,,"$1,875,000 ","$800,000"
"Candelario, Jeimer",2023,DET,3b,5.038,0.2,4.5,"$5,800,000 ",,non-tendered,,"$6,350,000"
"Castro, Harold",2023,DET,3b,3.141,0.2,0.3,"$1,275,000 ",,non-tendered,,"$1,425,000"
"Castro, Willi",2023,DET,ss,3.017,0.8,0.9,,,non-tendered,,"$1,100,000"
"Cisnero, José",2023,DET,rhp,5.020,0.2,2.0,"$1,900,000 ",,,"$2,287,500 ","$2,150,000"
"Diaz, Miguel",2023,DET,rhp,2.132,0.0,1.0,,,non-tendered,,"$835,000"
"Funkhouser, Kyle",2023,DET,rhp,2.133,-,0.4,"$710,200 ",,non-tendered,,"$735,000"
"García, Rony",2023,DET,rhp,2.138,0.4,0.1,"$704,800 ",,,"$830,000 ","$895,000"
"Meadows, Austin",2023,DET,rf,4.074,0.5,4.5,"$4,000,000 ",,,"$4,300,000 ","$4,500,000"
"Reyes, Victor",2023,DET,rf,4.075,-0.4,0.5,"$1,400,000 ",,outrighted,,"$1,550,000"
"Dubón, Mauricio",2023,HOU,ss,2.162,0.1,2.5,"$715,000 ",,,"$1,400,000 ","$1,400,000"
"James, Josh",2023,HOU,rhp,3.110,-,2.1,,,non-tendered,,"$875,000"
"Javier, Cristian",2023,HOU,rhp-s,3.000,3.5,4.8,"$749,100 ","$3,500,000 ","$3,000,000 ",5 y/$64M extn,"$3,000,000"
"Maton, Phil",2023,HOU,rhp,5.047,0.9,4.6,"$1,550,000 ",,,"$2,550,000 ","$2,850,000"
"Stanek, Ryne",2023,HOU,rhp,5.038,0.8,3.8,"$2,100,000 ",,,"$3,600,000 ","$3,500,000"
"Taylor, Blake",2023,HOU,lhp,3.000,0.0,0.3,"$731,800 ",,,"$830,000 ","$875,000"
"Tucker, Kyle",2023,HOU,of,3.079,4.1,8.8,"$764,200 ","$7,500,000 ","$5,000,000 ","$5,000,000 ","$4,750,000"
"Urquidy, José",2023,HOU,rhp-s,3.049,0.8,1.8,"$748,700 ",,,"$3,025,000 ","$2,100,000"
"Valdez, Framber",2023,HOU,lhp,3.163,3.3,7.8,"$3,000,000 ",,,"$6,800,000 ","$7,000,000"
"Barlow, Scott",2023,KCA,rhp,4.030,1.6,4.8,"$2,400,000 ",,,"$5,300,000 ","$4,200,000"
"Bubic, Kris",2023,KCA,lhp-s,2.135,-0.9,-1.0,"$713,750 ",,,"$2,200,000 ","$1,100,000"
