,Player,Team,Service,Player  Amt.,Team Amt.,Midpoint,Settled Amt.
72,Gordon Beckham,White Sox,4.123,,,,$4.175MM
73,Greg Holland,Royals,3.028,$5.200MM,$4.100MM,$4.650MM,$4.675MM
74,Gregor Blanco,Giants,3.164,,,,$2.525MM
75,Homer Bailey,Reds,5.017,$11.600MM,$8.700MM,$10.150MM,Extension
76,Ian Desmond,Nationals,4.027,,,,Extension
77,Ian Kennedy,Padres,4.124,,,,$6.100MM
78,Ike Davis,Mets,3.155,,,,$3.500MM
79,Ivan Nova,Yankees,3.024,,,,$3.300MM
80,Jake McGee,Rays,2.127 ⇑,,,,$1.450MM
81,James Russell,Cubs,4.000,,,,$1.775MM
82,Jason Castro,Astros,3.104,,,,$2.450MM
83,Jason Heyward,Braves,4.000,$5.500MM,$5.200MM,$5.350MM,Extension
84,Jed Lowrie,Athletics,5.111,,,,$5.250MM
85,Jeff Samardzija,Cubs,4.028,$6.200MM,$4.400MM,$5.300MM,$5.345MM
86,Jeremy Hellickson,Rays,3.045,,,,$3.625MM
87,Jerry Blevins,Nationals,4.081,,,,$1.675MM
88,Jesse Chavez,Athletics,3.108,,,,$0.775MM
89,Jesus Guzman,Astros,2.151 ⇑,,,,$1.300MM
90,Jim Johnson,Athletics,5.165,,,,$10.000MM
91,Joaquin Arias,Giants,4.071,$1.500MM,$1.100MM,$1.300MM,Extension
92,Joe Thatcher,Diamondbacks,5.068,,,,$2.375MM
93,John Jaso,Athletics,4.032,,,,$2.300MM
94,John Mayberry,Phillies,3.095,,,,$1.587MM
95,Jon Jay,Cardinals,3.134,,,,$3.250MM
96,Jonathan Herrera,Rockies,4.001,,,,$1.300MM
97,Jonny Venters,Braves,4.000,,,,$1.625MM
98,Jordan Walden,Braves,3.043,,,,$1.490MM
99,Jordan Schafer,Braves,3.121,,,,$1.090MM
100,Jordan Zimmermann,Nationals,4.154,,,,Extension
101,Jose Lobaton,Rays,2.138 ⇑,,,,$0.900MM
102,Josh Reddick,Athletics,3.050,$3.250MM,$2.000MM,$2.625MM,$2.700MM
103,Josh Collmenter,Diamondbacks,3.000,,,,Extension
104,Josh Tomlin ‡,Indians,3.069,$0.975MM,$0.800MM,$0.887MM,$0.800MM
105,Josh Outman,Indians,4.036,,,,$1.250MM
106,Juan Francisco,Brewers,2.156 ⇑,,,,$1.350MM
107,Juan Nicasio,Rockies,2.124 ⇑,,,,$2.025MM
108,Junichi Tazawa,Red Sox,3.086,,,,$1.275MM
109,Justin Masterson,Indians,5.108,$11.800MM,$8.050MM,$9.925MM,$9.762MM
110,Justin Smoak,Mariners,3.113,$3.250MM,$2.025MM,$2.638MM,$2.638MM
111,Justin Ruggiano,Cubs,3.019,$2.450MM,$1.600MM,$2.025MM,$2.000MM
112,Justin Maxwell,Royals,3.066,$1.700MM,$1.075MM,$1.387MM,$1.325MM
113,Kenley Jansen,Dodgers,3.073,$5.050MM,$3.500MM,$4.275MM,$4.300MM
114,Kevin Jepsen,Angels,3.163,$1.625MM,$1.300MM,$1.462MM,$1.462MM
115,Kevin Frandsen,Phillies,4.151,,,,$0.900MM
116,Kris Medlen,Braves,4.137,,,,$5.800MM
117,Kyle Blanks,Padres,4.032,,,,$0.988MM
118,Kyle Kendrick,Phillies,5.159,,,,$7.675MM
119,Logan Morrison,Mariners,3.069,$2.500MM,$1.100MM,$1.800MM,$1.750MM
120,Lucas Duda,Mets,2.137 ⇑,$1.900MM,$1.350MM,$1.625MM,$1.637MM
121,Luis Valbuena,Cubs,3.148,,,,$1.710MM
122,Luke Gregerson,Athletics,5.000,,,,$5.065MM
123,Luke Hochevar,Royals,5.151,,,,$5.210MM
124,Marc Rzepczynski,Indians,3.132,,,,$1.375MM
125,Marco Estrada,Brewers,4.035,,,,$3.325MM
126,Mark Trumbo,Diamondbacks,3.027,$5.850MM,$3.400MM,$4.625MM,$4.800MM
127,Mark Melancon,Pirates,3.098,,,,$2.595MM
128,Matt Reynolds,Diamondbacks,3.046,,,,$0.550MM
129,Matt Wieters,Orioles,4.129,$8.750MM,$6.500MM,$7.625MM,$7.700MM
130,Matt Joyce,Rays,4.123,,,,$3.700MM
131,Max Scherzer,Tigers,5.079,,,,$15.525MM
132,Michael Brantley,Indians,3.131,$3.800MM,$2.700MM,$3.250MM,Extension
133,Michael Saunders,Mariners,3.138,,,,$2.300MM
134,Michael Dunn,Marlins,3.079,,,,$1.400MM
135,Mike Minor,Braves,2.138 ⇑,,,,$3.850MM
136,Mike Baxter,Dodgers,2.129 ⇑,,,,$0.700MM
137,Mike Carp,Red Sox,3.010,,,,$1.400MM
138,Mike Leake,Reds,4.000,,,,$5.925MM
139,Mitch Moreland,Rangers,3.067,$3.250MM,$2.025MM,$2.638MM,$2.650MM
140,Nate Schierholtz,Cubs,5.078,,,,$5.000MM
141,Neal Cotts,Rangers,5.041,,,,$2.200MM
142,Neftali Feliz,Rangers,4.064,,,,$3.000MM
143,Neil Walker,Pirates,3.166,,,,$5.750MM
144,Nolan Reimold,Orioles,4.004,,,,$1.025MM
145,Pedro Strop,Cubs,2.156 ⇑,,,,$1.325MM
146,Pedro Alvarez,Pirates,3.085,,,,$4.250MM
147,Peter Bourjos,Cardinals,3.062,,,,$1.200MM
148,Phil Coke,Tigers,5.028,,,,$1.900MM
149,Ramiro Pena,Braves,3.089,,,,$0.550MM
150,Rick Porcello,Tigers,4.170,,,,$8.500MM
151,Ross Detwiler,Nationals,4.002,,,,$3.000MM
152,Ross Ohlendorf,Nationals,4.170,,,,$1.250MM
153,Ruben Tejada,Mets,2.171 ⇑,,,,$1.100MM
154,Ryan Hanigan,Rays,5.077,,,,Extension
155,Sam LeCure,Reds,3.072,,,,Extension
156,Scott Elbert,Dodgers,3.069,,,,$0.575MM
157,Sean Rodriguez,Rays,4.133,,,,$1.475MM
158,Seth Smith,Padres,5.119,,,,$4.500MM
159,Shawn Kelley,Yankees,4.128,,,,$1.765MM
160,Stephen Strasburg,Nationals,3.118,,,,$3.975MM
161,Steve Cishek,Marlins,2.143 ⇑,,,,$3.800MM
162,Steve Pearce,Orioles,4.116,,,,$0.700MM
163,Tim Stauffer,Padres,5.143,,,,$1.600MM
164,Tim Collins,Royals,3.000,,,,$1.363MM
165,Tommy Hunter,Orioles,4.066,,,,$3.000MM
166,Tony Abreu,Giants,3.170,,,,$0.745MM
167,Travis Wood,Cubs,3.004,$4.250MM,$3.500MM,$3.875MM,$3.900MM
168,Travis Snider,Pirates,3.091,,,,$1.200MM
169,Trevor Plouffe,Twins,2.162 ⇑,,,,$2.350MM
170,Troy Patton,Orioles,3.150,,,,$1.275MM
171,Tyler Clippard,Nationals,4.148,$6.350MM,$4.450MM,$5.400MM,$5.875MM
172,Tyler Flowers,White Sox,2.148 ⇑,,,,$0.950MM
173,Tyson Ross,Padres,2.126 ⇑,,,,$1.980MM
174,Vin Mazzaro,Pirates,3.021,,,,$0.950MM
175,Vinnie Pestano ‡,Indians,2.160 ⇑,$1.450MM,$0.975MM,$1.212MM,$0.975MM
176,Wilson Ramos,Nationals,3.047,,,,$2.095MM
177,Wilton Lopez,Rockies,4.038,,,,$2.200MM
178,Yusmeiro Petit,Giants,3.016,,,,$0.845MM
