,Player,Team,Service,Player  Amt.,Team Amt.,Midpoint,Settled Amt.
0,A.J. Ellis,Dodgers,3.151,$4.600MM,$3.000MM,$3.800MM,$3.550MM
1,Aaron Crow,Royals,3.000,$1.700MM,$1.280MM,$1.490MM,$1.475MM
2,Adam Rosales,Rangers,4.099,,,,$0.750MM
3,Al Alburquerque,Tigers,2.147 ⇑,,,,$0.838MM
4,Alejandro de Aza,White Sox,4.139,,,,$4.250MM
5,Alex Avila,Tigers,4.061,$5.350MM,$3.750MM,$4.550MM,$4.150MM
6,Alexi Ogando,Rangers,3.114,,,,$2.625MM
7,Alfredo Simon,Reds,4.142,,,,$1.500MM
8,Andrew Cashner †,Padres,3.126,$2.400MM,$2.275MM,$2.337MM,$2.400MM
9,Andrew Miller,Red Sox,5.062,$2.150MM,$1.550MM,$1.850MM,$1.900MM
10,Andy Dirks,Tigers,2.139 ⇑,,,,$1.625MM
11,Anthony Swarzak,Twins,3.038,,,,$0.935MM
12,Antonio Bastardo,Phillies,4.054,$2.500MM,$1.675MM,$2.087MM,$2.000MM
13,Aroldis Chapman,Reds,3.034,$5.400MM,$4.600MM,$5.000MM,$5.000MM
14,Austin Jackson,Tigers,4.000,,,,$6.000MM
15,Ben Revere,Phillies,2.149 ⇑,$2.425MM,$1.400MM,$1.913MM,$1.950MM
16,Blake Wood,Indians,3.108,,,,$0.560MM
17,Bobby Parnell,Mets,4.132,,,,$3.700MM
18,Brad Ziegler,Diamondbacks,5.122,,,,Extension
19,Brandon Moss,Athletics,3.160,,,,$4.100MM
20,Brandon Beachy,Braves,3.014,,,,$1.450MM
21,Brandon Belt,Giants,2.128 ⇑,$3.600MM,$2.050MM,$2.825MM,$2.900MM
22,Brett Cecil,Blue Jays,3.152,,,,$1.300MM
23,Brett Hayes,Royals,3.017,,,,$0.630MM
24,Brett Gardner,Yankees,5.072,,,,$5.600MM
25,Brian Matusz,Orioles,3.156,,,,$2.400MM
26,Brian Duensing,Twins,4.104,,,,$2.000MM
27,Bud Norris,Orioles,4.068,,,,$5.300MM
28,Burke Badenhop,Red Sox,5.116,,,,$2.150MM
29,Cesar Ramos,Rays,3.003,,,,$0.750MM
30,Charlie Morton,Pirates,5.010,,,,Extension
31,Chase Headley,Padres,5.123,,,,$10.525MM
32,Chris Johnson,Braves,3.144,,,,$4.750MM
33,Chris Davis,Orioles,4.061,,,,$10.350MM
34,Chris Heisey,Reds,3.157,,,,$1.760MM
35,Chris Stewart,Pirates,3.091,,,,$0.515MM
36,Clayton Kershaw,Dodgers,5.105,,,,Extension
37,Colby Rasmus,Blue Jays,5.000,,,,$7.000MM
38,Craig Kimbrel,Braves,3.066,$9.000MM,$6.550MM,$7.775MM,Extension
39,Craig Gentry,Athletics,3.084,,,,$1.145MM
40,Daniel Descalso,Cardinals,3.016,$1.650MM,$0.930MM,$1.290MM,$1.290MM
41,Daniel Murphy,Mets,4.109,,,,$5.700MM
42,Daric Barton,Athletics,4.030,,,,$1.250MM
43,Darwin Barney,Cubs,3.053,$2.800MM,$1.800MM,$2.300MM,$2.300MM
44,David Freese,Angels,4.028,$6.000MM,$4.100MM,$5.050MM,$5.050MM
45,David Price,Rays,4.164,,,,$14.000MM
46,David Robertson,Yankees,5.070,,,,$5.215MM
47,Dayan Viciedo,White Sox,2.123 ⇑,,,,$2.800MM
48,Dillon Gee,Mets,3.028,$4.050MM,$3.200MM,$3.625MM,$3.625MM
49,Don Kelly,Tigers,4.138,,,,$1.000MM
50,Donnie Murphy,Cubs,4.101,,,,$0.825MM
51,Doug Fister,Nationals,4.058,$8.500MM,$5.750MM,$7.125MM,$7.200MM
52,Drew Butera,Dodgers,3.018,,,,$0.700MM
53,Drew Stubbs,Rockies,4.047,,,,$4.100MM
54,Drew Storen,Nationals,3.140,,,,$3.450MM
55,Emilio Bonifacio,Royals,5.066,,,,$3.500MM
56,Eric Young,Mets,3.123,,,,$1.850MM
57,Eric Stults,Padres,3.075,,,,$2.750MM
58,Eric Hosmer,Royals,2.146 ⇑,,,,$3.600MM
59,Ernesto Frieri,Angels,3.101,,,,$3.800MM
60,Esmil Rogers,Blue Jays,3.135,,,,$1.850MM
61,Everth Cabrera,Padres,3.144,,,,$2.450MM
62,Fernando Rodriguez,Athletics,2.142 ⇑,,,,$0.600MM
63,Fernando Salas,Angels,3.048,,,,$0.870MM
64,Francisco Cervelli,Yankees,3.146,,,,$0.700MM
65,Frank Herrmann,Indians,2.147 ⇑,,,,$0.560MM
66,Franklin Morales,Rockies,5.007,,,,$1.725MM
67,Freddie Freeman,Braves,3.033,$5.750MM,$4.500MM,$5.125MM,Extension
68,Gaby Sanchez,Pirates,4.025,,,,$2.300MM
69,George Kottaras,Cubs,4.149,,,,$1.075MM
70,Gerardo Parra,Diamondbacks,4.145,$5.200MM,$4.300MM,$4.750MM,$4.850MM
71,Giancarlo Stanton,Marlins,3.118,,,,$6.500MM
