,Player,Team,Service,Player  Amt.,Team Amt.,Midpoint,Settled Amt.
0,Adam Rosales,Athletics,2.171 ⇑,,,,$0.600MM
1,Adam Jones,Orioles,4.139,$7.400MM,$5.000MM,$6.200MM,$6.150MM
2,Alberto Callaspo,Angels,4.135,,,,$3.150MM
3,Alex Gordon,Royals,4.092,$5.450MM,$4.150MM,$4.800MM,$4.775MM
4,Alexi Casilla,Twins,4.038,$1.750MM,$1.065MM,$1.407MM,$1.383MM
5,Alfredo Aceves,Red Sox,3.001,$1.600MM,$0.950MM,$1.275MM,$1.200MM
6,Andre Ethier,Dodgers,5.153,,,,$10.950MM
7,Andres Torres,Mets,4.115,,,,$2.700MM
8,Andrew Miller,Red Sox,3.062,,,,$1.040MM
9,Andrew Bailey,Red Sox,3.000,$4.700MM,$3.350MM,$4.025MM,$3.900MM
10,Angel Pagan,Giants,5.144,,,,$4.850MM
11,Anibal Sanchez †,Marlins,5.099,$8.000MM,$6.900MM,$7.450MM,$8.000MM
12,Asdrubal Cabrera,Indians,4.027,$5.200MM,$3.750MM,$4.475MM,$4.550MM
13,Ben Francisco,Blue Jays,4.049,,,,$1.538MM
14,Bill Bray,Reds,4.018,,,,$1.417MM
15,Blake DeWitt,Cubs,3.048,,,,$1.100MM
16,Boone Logan,Yankees,4.140,$2.100MM,$1.700MM,$1.900MM,$1.875MM
17,Brad Ziegler,Diamondbacks,3.122,$1.945MM,$1.460MM,$1.702MM,$1.795MM
18,Brad Bergesen ‡,Orioles,2.147 ⇑,$1.200MM,$0.800MM,$1.000MM,$0.800MM
19,Brandon McCarthy,Athletics,5.122,,,,$4.275MM
20,Brandon Morrow,Blue Jays,4.091,$4.200MM,$3.900MM,$4.050MM,Extension
21,Brandon League,Mariners,5.145,,,,$5.000MM
22,Brayan Pena,Royals,4.081,,,,$0.875MM
23,Brett Gardner,Yankees,3.072,$3.200MM,$2.400MM,$2.800MM,$2.800MM
24,Burke Badenhop,Rays,3.116,,,,$1.075MM
25,Carlos Villanueva,Blue Jays,5.030,,,,$2.277MM
26,Carlos Gomez,Brewers,4.141,,,,$1.962MM
27,Carlos Quentin,Padres,5.065,,,,$7.025MM
28,Casey Janssen,Blue Jays,5.063,$2.200MM,$1.800MM,$2.000MM,Extension
29,Casey McGehee,Pirates,3.028,$2.725MM,$2.350MM,$2.538MM,$2.538MM
30,Charlie Morton,Pirates,3.010,,,,$2.445MM
31,Chase Headley,Padres,3.123,,,,$3.450MM
32,Chris Denorfia,Padres,4.041,,,,$1.165MM
33,Chris Perez,Indians,3.136,,,,$4.500MM
34,Chris Volstad,Cubs,3.076,,,,$2.655MM
35,Chris Resop,Pirates,3.038,,,,$0.850MM
36,Chris Getz,Royals,3.050,,,,$0.968MM
37,Clayton Kershaw,Dodgers,3.105,$10.000MM,$6.500MM,$8.250MM,Extension
38,Clayton Richard,Padres,3.070,$3.100MM,$2.350MM,$2.725MM,$2.705MM
39,Colby Rasmus,Blue Jays,3.000,,,,$2.700MM
40,Cole Hamels,Phillies,5.143,,,,$15.000MM
41,Craig Breslow,Diamondbacks,4.088,$2.100MM,$1.500MM,$1.800MM,$1.795MM
42,Dallas Braden,Athletics,4.039,,,,$3.350MM
43,Dana Eveland,Orioles,3.008,,,,$0.750MM
44,Daniel Bard,Red Sox,2.148 ⇑,$1.825MM,$1.400MM,$1.613MM,$1.613MM
45,Daric Barton,Athletics,3.057,,,,$1.100MM
46,Darren O'Day,Orioles,3.103,,,,$1.350MM
47,David Murphy,Rangers,4.087,,,,$3.625MM
48,David Price,Rays,2.164 ⇑,,,,$4.350MM
49,David Robertson,Yankees,3.070,,,,$1.600MM
50,David Ortiz,Red Sox,13.048,$16.500MM,$12.650MM,$14.575MM,$14.575MM
51,Delmon Young,Tigers,5.034,,,,$6.750MM
52,Dexter Fowler,Rockies,2.168 ⇑,,,,$2.350MM
53,Don Kelly,Tigers,2.149 ⇑,,,,$0.900MM
54,Donnie Murphy,Marlins,3.075,,,,$0.560MM
55,Dustin McGowan,Blue Jays,5.113,,,,$0.600MM
56,Dustin Moseley,Padres,4.030,$2.550MM,$1.500MM,$2.025MM,$2.013MM
57,Edinson Volquez,Padres,4.059,,,,$2.237MM
58,Edward Mujica,Marlins,4.115,,,,$1.625MM
59,Elvis Andrus,Rangers,3.000,$3.600MM,$2.650MM,$3.125MM,Extension
60,Emilio Bonifacio †,Marlins,3.066,$2.200MM,$1.950MM,$2.075MM,$2.200MM
61,Emmanuel Burriss,Giants,2.152 ⇑,,,,$0.625MM
62,Eric O'Flaherty,Braves,4.062,,,,$2.490MM
63,Erick Aybar,Angels,5.086,,,,$5.075MM
64,Evan Meek,Pirates,3.037,,,,$0.875MM
65,Felipe Paulino,Royals,3.163,,,,$1.900MM
66,Francisco Liriano,Twins,5.104,,,,$5.500MM
67,Francisco Rodriguez,Brewers,8.150,,,,$8.000MM
68,Franklin Morales,Red Sox,3.007,,,,$0.850MM
69,Garrett Jones ‡,Pirates,2.158 ⇑,$2.500MM,$2.250MM,$2.375MM,$2.250MM
70,George Kottaras,Brewers,2.149 ⇑,,,,$0.700MM
71,Geovany Soto,Cubs,4.096,,,,$4.300MM
72,Gio Gonzalez,Nationals,2.162 ⇑,,,,Extension
73,Glen Perkins,Twins,4.010,,,,$1.550MM
74,Homer Bailey,Reds,3.017,,,,$2.425MM
75,Howie Kendrick,Angels,5.091,,,,Extension
76,Humberto Quintero,Astros,5.141,,,,$1.000MM
77,Hunter Pence,Phillies,4.156,$11.800MM,$9.000MM,$10.400MM,$10.400MM
78,Ian Stewart,Cubs,3.050,,,,$2.237MM
79,J.A. Happ,Astros,3.047,,,,$2.350MM
80,J.P. Howell,Rays,5.007,,,,$1.350MM
81,Jack Hannahan,Indians,3.065,,,,$1.135MM
82,Jacoby Ellsbury,Red Sox,4.037,,,,$8.050MM
83,Jair Jurrjens,Braves,4.047,,,,$5.500MM
84,James Loney,Dodgers,5.012,,,,$6.375MM
85,Jarrod Saltalamacchia,Red Sox,4.043,,,,$2.500MM
86,Jason Grilli,Pirates,5.016,,,,$1.100MM
87,Jason Motte,Cardinals,3.027,$2.400MM,$1.500MM,$1.950MM,$1.950MM
88,Jason Vargas,Mariners,4.114,,,,$4.850MM
89,Jed Lowrie,Astros,3.111,$1.500MM,$0.900MM,$1.200MM,$1.150MM
90,Jeff Mathis,Blue Jays,5.012,,,,$1.500MM
91,Jeff Baker,Cubs,5.049,,,,$1.375MM
92,Jeff Karstens,Pirates,4.132,,,,$3.100MM
93,Jeff Niemann ‡,Rays,3.022,$3.200MM,$2.750MM,$2.975MM,$2.750MM
94,Jeremy Guthrie,Rockies,5.130,$10.250MM,$7.250MM,$8.750MM,$8.200MM
95,Jerome Williams,Angels,3.049,,,,$0.820MM
96,Jesse Litsch,Blue Jays,4.098,,,,$0.975MM
97,Jesus Flores,Nationals,4.079,,,,$0.815MM
98,Jim Johnson,Orioles,3.165,,,,$2.625MM
99,Joba Chamberlain,Yankees,4.055,,,,$1.675MM
100,Joe Smith,Indians,4.091,,,,$1.750MM
101,Joe Thatcher,Padres,3.068,,,,$0.700MM
102,Joel Peralta,Rays,5.132,,,,$2.175MM
103,Joel Hanrahan,Pirates,4.065,,,,$4.100MM
104,Joey Devine,Athletics,4.069,,,,$0.738MM
105,John Baker,Padres,3.083,,,,$0.750MM
106,John Lannan ‡,Nationals,4.011,$5.700MM,$5.000MM,$5.350MM,$5.000MM
