,Player,Team,Service,Player  Amt.,Team Amt.,Midpoint,Settled Amt.
107,John Danks,White Sox,5.000,,,,Extension
108,Jonathan Sanchez,Royals,5.071,,,,$5.600MM
109,Jordan Zimmermann,Nationals,2.154 ⇑,,,,$2.300MM
110,Jose Veras ‡,Brewers,4.128,$2.375MM,$2.000MM,$2.188MM,$2.000MM
111,Jose Arredondo,Reds,2.168 ⇑,$0.875MM,$0.725MM,$0.800MM,Extension
112,Juan Carlos Oviedo,Marlins,5.108,,,,$6.000MM
113,Justin Masterson,Indians,3.108,,,,$3.825MM
114,Kameron Loe,Brewers,4.133,,,,$2.175MM
115,Kelly Johnson,Blue Jays,6.127,,,,$6.375MM
116,Kendrys Morales,Angels,4.057,,,,$2.975MM
117,Kevin Slowey,Indians,4.053,,,,$2.750MM
118,Kyle McClellan,Cardinals,4.000,,,,$2.500MM
119,Kyle Kendrick,Phillies,3.159,,,,$3.585MM
120,Landon Powell,Athletics,2.153 ⇑,,,,$0.620MM
121,Luke Gregerson,Padres,3.000,,,,$1.550MM
122,Luke Hochevar,Royals,3.151,,,,$3.510MM
123,Manny Parra,Brewers,4.063,,,,$1.200MM
124,Manny Acosta,Mets,3.066,,,,$0.875MM
125,Mark Lowe,Rangers,5.087,,,,$1.700MM
126,Martin Prado,Braves,4.105,,,,$4.750MM
127,Matt Albers,Red Sox,4.141,,,,$1.075MM
128,Matt Garza,Cubs,4.149,$12.500MM,$7.950MM,$10.225MM,$9.500MM
129,Matt Harrison,Rangers,3.083,$3.500MM,$2.450MM,$2.975MM,$2.950MM
130,Matt Kemp,Dodgers,5.049,,,,Extension
131,Max Scherzer,Tigers,3.079,,,,$3.750MM
132,Melky Cabrera,Giants,5.148,,,,$6.000MM
133,"Melvin Upton, Jr.",Rays,5.126,,,,$7.000MM
134,Michael Bourn,Braves,5.028,,,,$6.845MM
135,Miguel Montero,Diamondbacks,5.031,$6.800MM,$5.400MM,$6.100MM,$5.900MM
136,Mike Fontenot,Giants,4.139,,,,$1.050MM
137,Mike Pelfrey,Mets,4.122,,,,$5.675MM
138,Mike Morse,Nationals,4.114,$5.000MM,$3.500MM,$4.250MM,Extension
139,Mike Napoli,Rangers,5.151,$11.500MM,$8.300MM,$9.900MM,$9.400MM
140,Mike Adams,Rangers,5.019,,,,$4.400MM
141,Mike Aviles,Red Sox,3.091,,,,$1.200MM
142,Mitch Maier,Royals,3.071,,,,$0.865MM
143,Nate Schierholtz,Giants,3.078,,,,$1.300MM
144,Nelson Cruz,Rangers,4.082,$7.500MM,$5.500MM,$6.500MM,Extension
145,Nick Hundley,Padres,3.088,,,,$2.000MM
146,Nick Masset,Reds,4.146,$2.900MM,$2.100MM,$2.500MM,Extension
147,Nyjer Morgan,Brewers,3.120,,,,$2.350MM
148,Pablo Sandoval,Giants,3.047,$4.250MM,$3.000MM,$3.625MM,Extension
149,Paul Janish,Reds,3.064,,,,Unknown
150,Phil Coke,Tigers,3.028,,,,$1.100MM
151,Phil Hughes,Yankees,4.113,,,,$3.200MM
152,Rafael Perez,Indians,4.157,$2.400MM,$1.600MM,$2.000MM,$2.005MM
153,Ramon Ramirez,Mets,5.113,,,,$2.650MM
154,Randy Wells,Cubs,3.016,,,,$2.705MM
155,Rick Porcello,Tigers,2.170 ⇑,,,,$3.100MM
156,Robert Andino,Orioles,3.094,$1.600MM,$1.000MM,$1.300MM,$1.300MM
157,Russell Martin,Yankees,5.150,$8.200MM,$7.000MM,$7.600MM,$7.500MM
158,Ryan Sweeney,Red Sox,4.053,,,,$1.750MM
159,Ryan Roberts,Diamondbacks,2.150 ⇑,$2.275MM,$1.650MM,$1.962MM,$2.013MM
160,Ryan Vogelsong,Giants,5.020,,,,Extension
161,Santiago Casilla,Giants,4.148,,,,$2.200MM
162,Sergio Romo,Giants,3.097,$1.750MM,$1.300MM,$1.525MM,$1.575MM
163,Seth Smith,Rockies,3.119,,,,$2.415MM
164,Shaun Marcum,Brewers,5.128,$8.700MM,$6.750MM,$7.725MM,$7.725MM
165,Shawn Kelley,Mariners,2.160 ⇑,,,,$0.600MM
166,Shin-Soo Choo,Indians,4.119,,,,$4.900MM
167,Skip Schumaker,Cardinals,5.051,,,,Extension
168,Tim Lincecum,Giants,4.148,$21.500MM,$17.000MM,$19.250MM,Extension
169,Tim Stauffer,Padres,4.007,,,,$3.200MM
170,Tom Gorzelanny,Nationals,4.160,,,,$3.000MM
171,Tony Gwynn,Dodgers,4.044,,,,Extension
172,Tyler Clippard,Nationals,2.148 ⇑,,,,$1.650MM
173,Will Venable,Padres,2.155 ⇑,,,,$1.475MM
174,Wilson Valdez,Reds,3.096,,,,$0.930MM
