,Player,Team,Service,Player  Amt.,Team Amt.,Midpoint,Settled Amt.
65,Jarrod Saltalamacchia,Red Sox,3.043,,,,$0.750MM
66,Jason Vargas,Mariners,3.114,,,,$2.450MM
67,Jason Bartlett,Padres,5.086,,,,Extension
68,Jason Hammel,Rockies,3.153,$3.700MM,$3.100MM,$3.400MM,Extension
69,Jason Repko,Twins,3.168,,,,$0.600MM
70,Javier Lopez,Giants,5.167,$2.875MM,$2.000MM,$2.438MM,$2.375MM
71,Jay Bruce,Reds,2.125 ⇑,,,,Extension
72,Jeff Mathis,Angels,4.012,,,,$1.700MM
73,Jeff Keppinger,Astros,4.052,,,,$2.300MM
74,Jeff Baker,Cubs,4.049,,,,$1.175MM
75,Jeff Karstens,Pirates,3.132,,,,$1.100MM
76,Jensen Lewis,Indians,2.133 ⇑,,,,$0.650MM
77,Jered Weaver ‡,Angels,4.129,$8.800MM,$7.365MM,$8.082MM,$7.365MM
78,Jeremy Guthrie,Orioles,4.130,$6.500MM,$5.000MM,$5.750MM,$5.750MM
79,Jesse Litsch,Blue Jays,3.098,,,,$0.830MM
80,Jesus Flores,Nationals,3.158,,,,$0.750MM
81,Jim Johnson,Orioles,2.165 ⇑,,,,$0.975MM
82,Joba Chamberlain,Yankees,3.055,,,,$1.400MM
83,Joe Saunders,Diamondbacks,4.013,,,,$5.500MM
84,Joe Smith,Indians,3.091,,,,$0.870MM
85,Joel Hanrahan,Pirates,3.065,,,,$1.400MM
86,Joel Zumaya,Tigers,5.000,,,,$1.400MM
87,Joey Devine,Athletics,3.171,,,,$0.560MM
88,Joey Votto,Reds,3.027,,,,Extension
89,John Lannan,Nationals,3.011,,,,$2.750MM
90,John Danks,White Sox,4.000,,,,$6.000MM
91,Johnny Cueto,Reds,3.000,$3.900MM,$3.000MM,$3.450MM,Extension
92,Jonathan Sanchez,Giants,4.071,,,,$4.800MM
93,Jonathan Papelbon,Red Sox,5.064,,,,$12.000MM
94,Jose Bautista,Blue Jays,5.165,$10.500MM,$7.600MM,$9.050MM,Extension
95,Jose Lopez,Rockies,5.140,,,,$3.600MM
96,Josh Willingham,Athletics,5.123,,,,$6.000MM
97,Josh Wilson,Mariners,3.047,,,,$0.725MM
98,Josh Hamilton,Rangers,4.000,$12.000MM,$8.700MM,$10.350MM,Extension
99,Kameron Loe,Brewers,3.133,$1.650MM,$1.055MM,$1.353MM,$1.250MM
100,Kelly Johnson,Diamondbacks,5.127,$6.500MM,$4.700MM,$5.600MM,$5.850MM
101,Kendrys Morales,Angels,3.057,,,,$2.975MM
102,Kevin Kouzmanoff,Athletics,4.030,,,,$4.750MM
103,Kevin Slowey,Twins,3.063,$3.100MM,$2.300MM,$2.700MM,$2.700MM
104,Koyie Hill,Cubs,4.006,,,,$0.850MM
105,Kyle McClellan,Cardinals,3.000,,,,$1.375MM
106,Kyle Kendrick,Phillies,2.159 ⇑,,,,$2.450MM
107,Kyle Davies,Royals,5.012,,,,$3.200MM
108,Leo Nunez,Marlins,4.108,,,,$3.650MM
109,Luke Scott,Orioles,4.144,$6.850MM,$5.700MM,$6.275MM,$6.400MM
110,Luke Hochevar,Royals,2.151 ⇑,,,,$1.760MM
111,Manny Parra,Brewers,3.063,,,,$1.200MM
112,Mark Lowe,Rangers,4.087,,,,$1.200MM
113,Martin Prado,Braves,3.105,,,,$3.100MM
114,Matt Garza,Cubs,3.149,,,,$5.950MM
115,Matt Lindstrom,Rockies,4.000,,,,Extension
116,Matt Belisle,Rockies,5.019,,,,$2.350MM
117,Matt Capps,Twins,5.017,,,,$7.150MM
118,"Melvin Upton, Jr.",Rays,4.126,,,,$4.825MM
119,Michael Bourn,Astros,4.028,,,,$4.400MM
120,Miguel Montero,Diamondbacks,4.031,$3.400MM,$2.800MM,$3.100MM,$3.200MM
121,Mike Napoli,Rangers,4.151,$6.100MM,$5.300MM,$5.700MM,$5.800MM
122,Mike Fontenot,Giants,3.139,,,,$1.050MM
123,Mike Pelfrey,Mets,3.122,,,,$3.925MM
124,Mike Morse,Nationals,3.114,,,,$1.500MM
125,Mike Adams,Padres,4.019,,,,$2.535MM
126,Nelson Figueroa,Astros,3.160,,,,$0.900MM
127,Nelson Cruz,Rangers,3.082,,,,$3.650MM
128,Pat Neshek,Twins,4.005,,,,$0.625MM
129,Peter Moylan,Braves,4.061,,,,$2.000MM
130,Phil Hughes,Yankees,3.113,,,,$2.700MM
131,Prince Fielder,Brewers,5.068,,,,$15.500MM
132,R.A. Dickey,Mets,5.007,$4.700MM,$3.350MM,$4.025MM,Extension
133,Rafael Perez,Indians,3.157,,,,$1.330MM
134,Rajai Davis,Blue Jays,3.167,,,,Extension
135,Ramon Ramirez,Giants,4.113,,,,$1.650MM
136,Reggie Willits,Angels,4.000,,,,$0.775MM
137,Rickie Weeks,Brewers,5.131,$7.200MM,$4.850MM,$6.025MM,Extension
138,Ricky Nolasco,Marlins,4.142,,,,Extension
139,Robinson Tejeda,Royals,4.102,,,,$1.550MM
140,Ronny Cedeno,Pirates,5.029,,,,$1.850MM
141,Ross Ohlendorf †,Pirates,2.139 ⇑,$2.025MM,$1.400MM,$1.712MM,$2.025MM
142,Ryan Sweeney,Athletics,3.053,,,,$1.400MM
143,Ryan Theriot,Cardinals,4.118,,,,$3.300MM
144,Ryan Ludwick,Padres,5.109,,,,$6.775MM
145,Ryan Raburn,Tigers,3.109,,,,Extension
146,Santiago Casilla,Giants,3.148,,,,$1.300MM
147,Scott Proctor,Braves,5.043,,,,$0.750MM
148,Sean Marshall,Cubs,4.088,,,,Extension
149,Sean Burnett,Nationals,4.085,,,,Extension
150,Sergio Mitre,Yankees,5.132,,,,$0.900MM
151,Shaun Marcum,Brewers,4.128,$5.000MM,$3.000MM,$4.000MM,$3.950MM
152,Shawn Camp,Blue Jays,5.170,,,,$2.250MM
153,Shin-Soo Choo,Indians,3.119,,,,$3.975MM
154,Stephen Drew,Diamondbacks,4.079,,,,Extension
155,Tim Stauffer,Padres,3.007,,,,$1.075MM
156,Tom Gorzelanny,Nationals,3.160,,,,$2.100MM
157,Tony Pena,White Sox,4.076,,,,$1.600MM
158,Wandy Rodriguez,Astros,5.105,$10.250MM,$8.000MM,$9.125MM,Extension
159,Wil Ledezma,Pirates,4.145,,,,$0.700MM
160,Wilson Betemit,Royals,5.107,,,,$1.000MM
161,Yunel Escobar,Blue Jays,3.121,,,,$2.900MM
162,Zach Duke,Diamondbacks,5.094,,,,$3.500MM
