,Player,Team,Service,Player  Amt.,Team Amt.,Midpoint,Settled Amt.
0,Adam Jones,Orioles,3.139,,,,$3.250MM
1,Alberto Callaspo,Angels,3.135,,,,$2.000MM
2,Alberto Gonzalez,Nationals,2.135 ⇑,,,,$0.600MM
3,Alex Gordon,Royals,3.092,,,,$1.400MM
4,Alexi Casilla,Twins,3.038,,,,$0.865MM
5,Andres Torres,Giants,3.115,$2.600MM,$1.800MM,$2.200MM,$2.100MM
6,Andy Sonnanstine,Rays,3.066,,,,$0.912MM
7,Angel Pagan,Mets,4.144,$4.200MM,$3.060MM,$3.630MM,$3.500MM
8,Anibal Sanchez,Marlins,4.099,,,,$3.700MM
9,Armando Galarraga,Tigers,2.148 ⇑,,,,$2.300MM
10,Asdrubal Cabrera,Indians,3.027,,,,$2.025MM
11,Ben Francisco,Phillies,3.049,,,,$1.175MM
12,Bill Bray,Reds,3.018,,,,$0.645MM
13,Billy Butler,Royals,3.102,$4.300MM,$3.400MM,$3.850MM,Extension
14,Boone Logan,Yankees,3.140,,,,$1.200MM
15,Brad Ziegler,Athletics,2.122 ⇑,,,,$1.250MM
16,Brandon Morrow,Blue Jays,3.091,,,,$2.300MM
17,Brandon League,Mariners,4.145,,,,$2.250MM
18,Brayan Pena,Royals,3.081,,,,$0.660MM
19,Brendan Ryan,Mariners,3.082,,,,Extension
20,Burke Badenhop,Marlins,2.143 ⇑,,,,$0.750MM
21,C.J. Wilson,Rangers,5.055,,,,$7.050MM
22,Carlos Gomez,Brewers,3.141,,,,$1.500MM
23,Carlos Villanueva,Blue Jays,4.030,,,,$1.415MM
24,Carlos Marmol,Cubs,4.084,$5.650MM,$4.100MM,$4.875MM,Extension
25,Carlos Quentin,White Sox,4.065,,,,$5.050MM
26,Casey Janssen,Blue Jays,4.063,,,,$1.095MM
27,Chad Billingsley,Dodgers,4.110,,,,$6.275MM
28,Chase Headley,Padres,2.123 ⇑,,,,$2.535MM
29,Chris Perez,Indians,2.136 ⇑,,,,$2.225MM
30,Chris Denorfia,Padres,3.041,,,,$0.800MM
31,Clay Hensley,Marlins,3.161,,,,$1.400MM
32,Clint Barmes,Astros,5.122,,,,$3.925MM
33,Cody Ross,Giants,5.058,,,,$6.300MM
34,Conor Jackson,Athletics,5.067,,,,$3.200MM
35,Craig Breslow,Athletics,3.088,$1.550MM,$1.150MM,$1.350MM,$1.400MM
36,Dallas Braden,Athletics,3.039,,,,$3.350MM
37,Dan Uggla,Braves,5.000,,,,Extension
38,Dan Johnson,Rays,3.048,,,,$1.000MM
39,Darren O'Day,Rangers,2.128 ⇑,$1.400MM,$1.050MM,$1.225MM,$1.215MM
40,David Aardsma,Mariners,4.082,,,,$4.500MM
41,David Murphy,Rangers,3.087,,,,$2.400MM
42,Delmon Young,Twins,4.034,$6.250MM,$4.650MM,$5.450MM,$5.375MM
43,Doug Slaten,Nationals,3.043,,,,$0.695MM
44,Dustin McGowan,Blue Jays,4.113,,,,$0.450MM
45,Edinson Volquez,Reds,3.120,$2.000MM,$1.300MM,$1.650MM,$1.625MM
46,Edward Mujica,Marlins,3.115,,,,$0.800MM
47,Eric O'Flaherty,Braves,3.062,,,,$0.895MM
48,Erick Aybar,Angels,4.086,,,,$3.000MM
49,Felipe Paulino,Rockies,2.163 ⇑,,,,$0.790MM
50,Felix Pie,Orioles,3.012,,,,$0.985MM
51,Francisco Liriano,Twins,4.104,$5.000MM,$3.600MM,$4.300MM,$4.300MM
52,Geovany Soto,Cubs,3.096,,,,$3.000MM
53,Glen Perkins,Twins,3.010,,,,$0.700MM
54,Heath Bell,Padres,5.099,,,,$7.500MM
55,Hong-Chih Kuo,Dodgers,4.114,$3.075MM,$2.550MM,$2.812MM,$2.725MM
56,Howie Kendrick,Angels,4.091,,,,$3.300MM
57,Humberto Quintero,Astros,4.141,,,,$1.000MM
58,Hunter Pence †,Astros,3.156,$6.900MM,$5.150MM,$6.025MM,$6.900MM
59,Ian Stewart,Rockies,2.154 ⇑,$2.600MM,$2.150MM,$2.375MM,$2.229MM
60,J.J. Hardy,Orioles,5.164,,,,$5.850MM
61,Jacoby Ellsbury,Red Sox,3.037,,,,$2.400MM
62,Jair Jurrjens,Braves,3.047,,,,$3.250MM
63,James Loney,Dodgers,4.012,$5.250MM,$4.700MM,$4.975MM,$4.875MM
64,Jared Burton,Reds,3.014,,,,$0.770MM
