,Player,Team,Service,Player  Amt.,Team Amt.,Midpoint,Settled Amt.
0,A.J. Ellis,Dodgers,2.151 ⇑,,,,$2.000MM
1,Adam Rosales,Athletics,3.099,,,,$0.700MM
2,Alberto Callaspo,Angels,5.135,,,,Extension
3,Alejandro de Aza,White Sox,3.139,,,,$2.075MM
4,Alex Avila,Tigers,3.061,,,,$2.950MM
5,Alexi Casilla,Orioles,5.038,,,,$1.7MM
6,Alfredo Aceves,Red Sox,4.001,,,,$2.650MM
7,Alfredo Simon,Reds,3.142,$1.050MM,$0.750MM,$0.900MM,$0.890MM
8,Andrew Bailey,Red Sox,4.000,,,,$4.100MM
9,Andrew Miller,Red Sox,4.062,,,,$1.475MM
10,Antonio Bastardo,Phillies,3.054,,,,$1.400MM
11,Austin Jackson,Tigers,3.000,,,,$3.500MM
12,Blake Wood,Indians,2.145 ⇑,,,,$0.560MM
13,Bobby Parnell,Mets,3.132,,,,$1.7MM
14,Boone Logan,Yankees,5.140,,,,$3.150MM
15,Brad Ziegler,Diamondbacks,4.122,,,,$3.150MM
16,Brandon Moss,Athletics,2.160 ⇑,,,,$1.600MM
17,Brendan Ryan,Mariners,5.082,,,,$3.250MM
18,Brennan Boesch,Tigers,3.000,,,,$2.300MM
19,Brett Hayes,Royals,2.148 ⇑,,,,$0.600MM
20,Brett Gardner,Yankees,4.072,,,,$2.850MM
21,Brian Matusz,Orioles,2.156 ⇑,,,,$1.600MM
22,Brian Duensing,Twins,3.104,,,,$1.300MM
23,Bud Norris,Astros,3.068,,,,$3.000MM
24,Burke Badenhop,Brewers,4.116,,,,$1.550MM
25,Buster Posey,Giants,2.161 ⇑,,,,$8.000MM
26,Carlos Gomez,Brewers,5.141,,,,$4.300MM
27,Charlie Morton,Pirates,4.010,,,,$2.000MM
28,Chase Headley,Padres,4.123,$10.300MM,$7.075MM,$8.688MM,$8.575MM
29,Chris Narveson,Brewers,3.102,,,,$0.840MM
30,Chris Johnson,Diamondbacks,2.144 ⇑,,,,$2.288MM
31,Chris Perez,Indians,4.136,,,,$7.300MM
32,Chris Davis,Orioles,3.061,,,,$3.300MM
33,Chris Resop,Athletics,4.038,,,,$1.350MM
34,Chris Heisey,Reds,2.157 ⇑,$1.650MM,$1.050MM,$1.350MM,$1.325MM
35,Chris Getz,Royals,4.050,,,,$1.050MM
36,Clayton Richard,Padres,4.070,$5.550MM,$4.905MM,$5.228MM,$5.240MM
37,Cliff Pennington,Diamondbacks,3.114,$2.800MM,$1.800MM,$2.300MM,Extension
38,Colby Rasmus,Blue Jays,4.000,,,,$4.675MM
39,Craig Stammen,Nationals,2.160 ⇑,,,,Extension
40,Craig Breslow,Red Sox,5.088,$2.375MM,$2.325MM,$2.350MM,Extension
41,Cristhian Martinez,Braves,2.158 ⇑,,,,$0.750MM
42,Daniel Murphy,Mets,3.109,$3.400MM,$2.550MM,$2.975MM,$2.925MM
43,Daniel Bard,Red Sox,3.074,,,,$1.863MM
44,Daric Barton,Athletics,3.148,,,,$1.100MM
45,Darren O'Day,Orioles,4.103,$3.200MM,$1.800MM,$2.500MM,Extension
46,David Freese,Cardinals,3.028,$3.750MM,$2.400MM,$3.075MM,$3.150MM
47,David Murphy,Rangers,5.087,$6.500MM,$5.050MM,$5.775MM,$5.775MM
48,David Price,Rays,3.164,,,,$10.113MM
49,David Robertson,Yankees,4.070,$3.550MM,$2.850MM,$3.200MM,$3.100MM
50,Dexter Fowler,Rockies,3.168,$5.150MM,$4.250MM,$4.700MM,Extension
51,Doug Fister,Tigers,3.058,,,,$4.000MM
52,Drew Storen,Nationals,2.140 ⇑,,,,$2.500MM
53,Drew Stubbs,Indians,3.047,,,,$2.825MM
54,Drew Butera,Twins,2.156 ⇑,,,,$0.700MM
55,Edinson Volquez,Padres,5.059,,,,$5.725MM
56,Edward Mujica,Cardinals,5.115,,,,$3.200MM
57,Emilio Bonifacio,Blue Jays,4.066,,,,$2.600MM
58,Eric O'Flaherty,Braves,5.062,,,,$4.320MM
59,Everth Cabrera,Padres,2.144 ⇑,,,,$1.275MM
60,Felipe Paulino,Royals,4.163,,,,$1.750MM
61,Franklin Morales,Red Sox,4.007,,,,$1.488MM
62,Gaby Sanchez,Pirates,3.025,,,,$1.750MM
63,Garrett Jones,Pirates,3.158 ⇑,,,,$4.5MM
64,George Kottaras,Royals,3.149,,,,$1.000MM
65,Gerardo Parra,Diamondbacks,3.145,$2.700MM,$2.100MM,$2.400MM,$2.350MM
66,Gordon Beckham,White Sox,3.123,,,,$2.925MM
67,Gregor Blanco,Giants,2.164 ⇑,,,,$1.350MM
68,Homer Bailey,Reds,4.017,$5.800MM,$4.750MM,$5.275MM,$5.350MM
69,Hunter Pence,Giants,5.156,,,,$13.800MM
70,Ian Kennedy,Diamondbacks,3.124,,,,$4.265MM
71,Ian Desmond,Nationals,3.027,,,,$3.800MM
72,Ike Davis,Mets,2.168 ⇑,$3.700MM,$2.825MM,$3.263MM,$3.125MM
73,J.A. Happ,Blue Jays,4.047,,,,$3.700MM
74,Jacoby Ellsbury,Red Sox,5.037,,,,$9.000MM
75,James Russell,Cubs,3.000,,,,$1.075MM
76,James McDonald,Pirates,3.080,$3.400MM,$2.650MM,$3.025MM,$3.025MM
77,Jared Burton,Twins,5.014,,,,Extension
78,Jarrod Saltalamacchia,Red Sox,5.043,,,,$4.500MM
79,Jason Heyward,Braves,3.000,,,,$3.650MM
80,Jason Motte,Cardinals,4.027,$5.500MM,$4.500MM,$5.000MM,Extension
81,Jason Vargas,Angels,5.114,,,,$8.500MM
82,Jason Hammel,Orioles,5.153,$8.250MM,$5.700MM,$6.975MM,$6.750MM
83,Jed Lowrie,Astros,4.111,,,,$2.400MM
84,Jeff Samardzija,Cubs,3.028,,,,$2.640MM
85,Jeff Niemann,Rays,4.022,,,,$3.000MM
86,Jerome Williams,Angels,4.049,,,,$2.000MM
87,Jerry Blevins,Athletics,3.081,,,,$1.100MM
88,Jhoulys Chacin,Rockies,3.012,$2.600MM,$1.700MM,$2.150MM,Extension
89,Jim Johnson,Orioles,4.165,$7.100MM,$5.700MM,$6.400MM,$6.500MM
90,Joaquin Arias,Giants,3.071,$1.100MM,$0.750MM,$0.925MM,$0.925MM
91,Joba Chamberlain,Yankees,5.055,,,,$1.875MM
92,Joe Smith,Indians,5.091,,,,$3.150MM
93,Joe Thatcher,Padres,4.068,,,,$1.350MM
94,Joel Hanrahan,Red Sox,5.065,,,,$7.040MM
95,John Axford,Brewers,2.170 ⇑,,,,$5.000MM
96,John Jaso,Athletics,3.032,,,,$1.800MM
97,John Baker,Padres,4.083,,,,$0.930MM
98,Jonathan Herrera,Rockies,3.001,$1.000MM,$0.800MM,$0.900MM,$0.900MM
99,Jonny Venters,Braves,3.000,,,,$1.625MM
100,Jordan Zimmermann,Nationals,3.154,$5.800MM,$4.600MM,$5.200MM,$5.350MM
101,Jose Mijares,Giants,4.024,,,,$1.800MM
102,Josh Kinney,Mariners,3.086,,,,$0.700MM
103,Josh Thole,Blue Jays,2.142 ⇑,,,,Extension
104,Josh Outman,Rockies,3.046,,,,$0.675MM
105,Justin Masterson,Indians,4.108,,,,$5.688MM
106,Kendrys Morales,Mariners,5.057,,,,$5.250MM
107,Kevin Jepsen,Angels,2.163 ⇑,$1.400MM,$0.975MM,$1.188MM,$1.181MM
108,Kevin Frandsen,Phillies,3.151,,,,$0.850MM
109,Kris Medlen,Braves,3.137,,,,$2.600MM
110,Kyle Blanks,Padres,3.032,,,,$0.605MM
111,Logan Ondrusek,Reds,2.144 ⇑,,,,Extension
112,Lou Marson,Indians,3.036,,,,$1.000MM
113,Luis Valbuena,Cubs,2.148 ⇑,,,,$0.930MM
114,Luke Gregerson,Padres,4.000,$3.750MM,$2.875MM,$3.312MM,$3.200MM
115,Luke Hochevar,Royals,4.151,,,,$4.560MM
116,Marc Rzepczynski,Cardinals,3.036,$1.300MM,$0.900MM,$1.100MM,$1.100MM
117,Marco Estrada,Brewers,3.035,,,,$1.955MM
118,Martin Prado,Diamondbacks,5.105,$7.050MM,$6.650MM,$6.850MM,Extension
119,Mat Latos,Reds,3.079,$4.700MM,$4.150MM,$4.425MM,Extension
120,Matt Garza,Cubs,5.149,,,,$10.250MM
121,Matt Albers,Indians,5.141,,,,$1.750MM
122,Matt Wieters,Orioles,3.129,,,,$5.500MM
123,Matt Harrison,Rangers,4.083,,,,Extension
124,Matt Joyce,Rays,3.123,,,,$2.450MM
125,Max Scherzer,Tigers,4.079,$7.400MM,$6.050MM,$6.725MM,$6.725MM
126,Mike Aviles,Indians,4.091,$3.400MM,$2.400MM,$2.900MM,Extension
127,Mike Leake,Reds,3.000,$3.500MM,$2.650MM,$3.075MM,$3.060MM
128,Mitchell Boggs,Cardinals,3.125,,,,$1.475MM
129,Neftali Feliz,Rangers,3.064,,,,$2.900MM
130,Neil Walker,Pirates,2.166 ⇑,$3.600MM,$3.000MM,$3.300MM,$3.300MM
131,Nolan Reimold,Orioles,3.004,,,,$1.000MM
132,Pat Neshek,Athletics,4.159,,,,$0.975MM
133,Paul Janish,Braves,3.145,,,,$0.725MM
134,Phil Coke,Tigers,4.028,,,,$1.850MM
135,Phil Hughes,Yankees,5.113,,,,$7.150MM
136,Rajai Davis,Blue Jays,5.167,,,,$2.500MM
137,Rick Porcello,Tigers,3.170,,,,$5.100MM
138,Roger Bernadina,Nationals,3.146,,,,$1.212MM
139,Ronald Belisario,Dodgers,2.151 ⇑,,,,$1.450MM
140,Ross Detwiler,Nationals,3.002,,,,$2.337MM
141,Ryan Webb,Marlins,3.029,,,,$0.975MM
142,Ryan Roberts,Rays,3.150,,,,$2.950MM
143,Sam Fuld,Rays,2.140 ⇑,,,,$0.725MM
144,Santiago Casilla,Giants,5.148,,,,Extension
145,Sean Rodriguez,Rays,3.133,,,,$1.000MM
146,Sergio Romo,Giants,4.097,$4.500MM,$2.675MM,$3.587MM,Extension
147,Seth Smith,Athletics,4.119,,,,$3.675MM
148,Shawn Kelley,Mariners,3.128,$1.200MM,$0.750MM,$0.975MM,$0.935MM
149,Shin-Soo Choo,Reds,5.119,$8.000MM,$6.750MM,$7.375MM,$7.375MM
150,Taylor Teagarden,Orioles,3.020,,,,$0.650MM
151,Tommy Hanson,Angels,3.120,,,,$3.725MM
152,Tommy Hunter,Orioles,3.066,,,,$1.820MM
153,Tony Sipp,Diamondbacks,3.138,,,,$1.275MM
154,Troy Patton,Orioles,2.150 ⇑,,,,$0.815MM
155,Tyler Clippard,Nationals,3.148,,,,$4.000MM
156,Tyler Colvin,Rockies,2.139 ⇑,,,,$2.275MM
157,Wesley Wright,Astros,3.105,,,,$1.025MM
158,Will Venable,Padres,3.155,,,,$2.675MM
159,Wilton Lopez,Rockies,3.038,,,,$1.760MM
