,Player,Team,Service,Player  Amt.,Team Amt.,Midpoint,Settled Amt.
152,Neftali Feliz,Rangers,4.151,,,,$4.125MM
153,Neil Walker ‡,Pirates,4.166,$9.000MM,$8.000MM,$8.500MM,$8.000MM
154,Pedro Strop,Cubs,3.156,$3.000MM,$2.000MM,$2.500MM,$2.525MM
155,Pedro Alvarez †,Pirates,4.085,$5.750MM,$5.250MM,$5.500MM,$5.750MM
156,Peter Bourjos,Cardinals,4.062,,,,$1.650MM
157,Rene Rivera,Rays,3.082,,,,$1.200MM
158,Rex Brothers,Rockies,3.117,,,,$1.400MM
159,Rick Porcello,Red Sox,5.17,,,,$12.500MM
160,Ross Detwiler,Rangers,5.002,,,,$3.450MM
161,Ruben Tejada,Mets,3.171,,,,$1.880MM
162,Ryan Cook,Athletics,3.036,,,,$1.400MM
163,Ryan Flaherty,Orioles,3,$1.500MM,$0.900MM,$1.200MM,$1.075MM
164,Sam Fuld,Athletics,4.14,,,,$1.750MM
165,Sean Rodriguez,Pirates,5.133,,,,$1.900MM
166,Shawn Kelley,Padres,5.128,,,,$2.835MM
167,Stephen Strasburg,Nationals,4.118,,,,$7.400MM
168,Steve Cishek,Marlins,3.143,,,,$6.650MM
169,Steve Pearce,Orioles,5.116,$5.400MM,$2.000MM,$3.700MM,$3.700MM
170,Tim Collins,Royals,3.097,,,,$1.475MM
171,Todd Frazier,Reds,3.071,$5.700MM,$3.900MM,$4.800MM,Extension
172,Tom Wilhelmsen ‡,Mariners,3.091,$2.200MM,$1.400MM,$1.800MM,$1.400MM
173,Tommy Hunter,Orioles,5.066,,,,$4.650MM
174,Tommy Milone,Twins,2.165 ⇑,,,,$2.775MM
175,Tony Sipp,Astros,5.1,,,,$2.400MM
176,Tony Cruz,Cardinals,3.105,,,,$0.775MM
177,Tony Watson,Pirates,3.101,,,,$1.750MM
178,Travis Wood,Cubs,4.004,,,,$5.685MM
179,Travis Ishikawa,Giants,4.012,,,,$1.100MM
180,Travis Snider,Pirates,4.091,,,,$2.100MM
181,Trevor Plouffe,Twins,3.162,,,,$4.800MM
182,Tyler Clippard,Athletics,5.148,$8.850MM,$7.775MM,$8.312MM,$8.300MM
183,Tyler Chatwood,Rockies,3.039,,,,Extension
184,Tyler Flowers,White Sox,3.148,,,,$2.675MM
185,Tyson Ross,Padres,3.126,,,,$5.250MM
186,Vance Worley †,Pirates,2.139 ⇑,$2.450MM,$2.000MM,$2.225MM,$2.450MM
187,Vinnie Pestano,Angels,3.054,,,,$1.150MM
188,Wade Miley,Red Sox,3.044,$4.300MM,$3.400MM,$3.850MM,Extension
189,Welington Castillo,Cubs,3.009,,,,$2.100MM
190,Wilin Rosario ‡,Rockies,3.023,$3.300MM,$2.800MM,$3.050MM,$2.800MM
191,Wilson Ramos,Nationals,4.047,,,,$3.550MM
192,Yonder Alonso,Padres,3.116,,,,$1.650MM
193,Yusmeiro Petit,Giants,4.016,,,,$2.100MM
194,Zach Britton,Orioles,2.158 ⇑,$4.200MM,$2.200MM,$3.200MM,$3.200MM
195,Zack Cozart,Reds,3.084,,,,$2.350MM
